Datetime,Open,High,Low,Close,Volume
2020-03-12 11:56:00-04:00,143.06,143.81,142.96,143.31,381266
2020-03-12 11:58:00-04:00,143.32,143.63,143.13,143.23,318056
2020-03-12 12:00:00-04:00,143.2,143.26,142.33,142.67,319756
2020-03-12 12:02:00-04:00,142.67,142.9,142.29,142.34,258695
2020-03-12 12:04:00-04:00,142.34,142.34,141.95,142.02,339781
2020-03-12 12:06:00-04:00,141.98,142.19,141.71,141.75,248732
2020-03-12 12:08:00-04:00,141.87,142.03,141.63,141.66,221563
2020-03-12 12:10:00-04:00,141.68,141.79,141.07,141.3,498387
2020-03-12 12:12:00-04:00,141.3,141.93,141.11,141.93,181849
2020-03-12 12:14:00-04:00,141.93,142.74,141.72,142.65,38393557
2020-03-12 12:16:00-04:00,142.66,143.2,142.54,142.77,265702
2020-03-12 12:18:00-04:00,142.73,142.94,142.51,142.81,300963
2020-03-12 12:20:00-04:00,142.79,143.27,142.73,143.18,270487
2020-03-12 12:22:00-04:00,143.17,143.88,142.92,143.88,293295
2020-03-12 12:24:00-04:00,143.88,144.7,143.87,144.7,521907
2020-03-12 12:26:00-04:00,144.72,144.72,144.01,144.52,367902
2020-03-12 12:28:00-04:00,144.49,144.54,143.65,143.71,264544
2020-03-12 12:30:00-04:00,143.71,143.71,143.18,143.25,272413
2020-03-12 12:32:00-04:00,143.26,143.73,143.15,143.55,241388
2020-03-12 12:34:00-04:00,143.53,144.01,143.35,143.99,314948
2020-03-12 12:36:00-04:00,143.99,144.39,143.91,144.25,332892
2020-03-12 12:38:00-04:00,144.26,144.95,144.21,144.7,284697
2020-03-12 12:40:00-04:00,144.67,144.75,143.0,143.16,365749
2020-03-12 12:42:00-04:00,143.16,143.49,143.06,143.35,248647
2020-03-12 12:44:00-04:00,143.3,144.09,143.13,144.07,215054
2020-03-12 12:46:00-04:00,144.05,144.39,143.74,143.94,189934
2020-03-12 12:48:00-04:00,143.94,144.01,143.28,143.52,205980
2020-03-12 12:50:00-04:00,143.52,144.81,143.48,144.41,288911
2020-03-12 12:52:00-04:00,144.33,146.85,144.33,146.84,578265
2020-03-12 12:54:00-04:00,146.81,147.93,146.66,147.56,530397
2020-03-12 12:56:00-04:00,147.56,149.0,147.33,149.0,414251
2020-03-12 12:58:00-04:00,148.98,149.93,148.06,148.06,537442
2020-03-12 13:00:00-04:00,148.06,149.86,147.01,149.5,550805
2020-03-12 13:02:00-04:00,149.49,152.33,149.26,152.32,746527
2020-03-12 13:04:00-04:00,152.22,153.47,151.33,153.36,578464
2020-03-12 13:06:00-04:00,153.4,153.41,148.77,149.21,455973
2020-03-12 13:08:00-04:00,149.24,149.79,148.35,149.6,551687
2020-03-12 13:10:00-04:00,149.52,150.12,147.5,147.56,344962
2020-03-12 13:12:00-04:00,147.57,147.79,145.0,146.83,459080
2020-03-12 13:14:00-04:00,146.93,148.64,145.97,148.64,306786
2020-03-12 13:16:00-04:00,148.64,148.64,146.91,147.47,212939
2020-03-12 13:18:00-04:00,147.44,148.24,147.07,148.08,330107
2020-03-12 13:20:00-04:00,148.08,148.16,147.02,147.84,160625
2020-03-12 13:22:00-04:00,147.86,149.36,147.61,147.9,388480
2020-03-12 13:24:00-04:00,147.89,148.41,147.5,147.57,169667
2020-03-12 13:26:00-04:00,147.55,147.92,147.02,147.62,232700
2020-03-12 13:28:00-04:00,147.6,148.65,147.24,148.15,181112
2020-03-12 13:30:00-04:00,148.14,149.2,147.66,147.98,215520
2020-03-12 13:32:00-04:00,147.94,148.1,147.16,147.19,199236
2020-03-12 13:34:00-04:00,147.32,147.57,146.75,146.75,165026
2020-03-12 13:36:00-04:00,146.75,146.77,144.73,145.02,302261
2020-03-12 13:38:00-04:00,145.0,145.7,144.36,144.46,296268
2020-03-12 13:40:00-04:00,144.4,145.29,143.91,145.18,295135
2020-03-12 13:42:00-04:00,145.2,145.45,144.64,144.92,169280
2020-03-12 13:44:00-04:00,144.87,145.25,144.66,144.93,174214
2020-03-12 13:46:00-04:00,144.88,145.81,144.2,145.43,267877
2020-03-12 13:48:00-04:00,145.42,146.56,145.33,146.47,270584
2020-03-12 13:50:00-04:00,146.43,146.49,145.4,146.49,245184
2020-03-12 13:52:00-04:00,146.47,146.81,145.62,145.63,212632
2020-03-12 13:54:00-04:00,145.67,146.0,144.94,146.0,159173
2020-03-12 13:56:00-04:00,145.95,146.58,145.38,146.49,174513
2020-03-12 13:58:00-04:00,146.49,147.4,146.31,147.26,220585
2020-03-12 14:00:00-04:00,147.25,147.88,144.8,145.05,299145
2020-03-12 14:02:00-04:00,145.07,146.14,145.05,145.81,160809
2020-03-12 14:04:00-04:00,145.68,146.55,145.34,146.12,259175
2020-03-12 14:06:00-04:00,146.18,146.18,145.17,145.34,176871
2020-03-12 14:08:00-04:00,145.34,145.62,144.91,145.56,198700
2020-03-12 14:10:00-04:00,145.55,145.94,144.56,144.66,246662
2020-03-12 14:12:00-04:00,144.66,145.15,143.97,144.85,268954
2020-03-12 14:14:00-04:00,144.93,145.25,144.22,144.43,213962
2020-03-12 14:16:00-04:00,144.46,144.81,144.05,144.56,166471
2020-03-12 14:18:00-04:00,144.64,144.93,143.92,144.14,212391
2020-03-12 14:20:00-04:00,144.12,144.63,143.98,144.07,176243
2020-03-12 14:22:00-04:00,144.08,144.15,143.31,143.74,311572
2020-03-12 14:24:00-04:00,143.73,144.07,143.28,143.99,207367
2020-03-12 14:26:00-04:00,143.98,144.53,143.66,144.2,239149
2020-03-12 14:28:00-04:00,144.22,144.58,143.81,144.07,244136
2020-03-12 14:30:00-04:00,144.03,144.35,143.5,144.26,252472
2020-03-12 14:32:00-04:00,144.27,144.38,143.54,143.61,222292
2020-03-12 14:34:00-04:00,143.6,143.85,143.33,143.65,209974
